in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,second_sol,second_sol_amount_ml,acid,acid_amount_mmol,ligand_source,ligand_amount_mmol,other_1,other_1_amount_mmol,other_2,other_2_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,10.14,None,0,oleic acid,14.5,None,0,None,0,None,0,15,305,20,3.1,555,595
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,None,0,myristic acid,0.6,None,0,None,0,None,0,10,300,20,4,525,558
indium acetate,1.2,tris(trimethylsilyl)phosphine,1.2,octadecene,3,None,0,None,0,dioctylamine,0.5,None,0,None,0,3.151,178,840,6.7,622,680
indium iodide,0.3,white phosphorus,0.299,None,0,None,0,None,0,oleylamine,4.06,zinc iodide,1.47,None,0,1.336,180,30,None,430,482
indium chloride,0.3,white phosphorus,0.45,None,0,None,0,None,0,oleylamine,4.06,zinc chloride,1.47,None,0,1.336,150,30,None,492,529
indium chloride,0.3,white phosphorus,0.45,None,0,None,0,None,0,oleylamine,4.06,zinc chloride,1.47,None,0,1.336,180,30,None,522,555
indium chloride,0.3,white phosphorus,0.45,None,0,None,0,None,0,oleylamine,0.8,zinc chloride,1.47,None,0,0.264,180,30,None,560,595
indium chloride,0.3,white phosphorus,0.45,None,0,None,0,None,0,oleylamine,0.8,zinc chloride,1.47,None,0,0.264,210,30,None,590,635
indium paltimate,0.15,tris(trimethylsilyl)phosphine,0.12,octadecene,16,trioctylphosphine,2,None,0,None,0,None,0,None,0,18,305,10,None,480,None
indium chloride,2.26,tris(trimethylsilyl)phosphine,2,trioctylphosphine,8,trioctylphosphine oxide,0.83,None,0,None,0,None,0,None,0,8.83,270,1140,5,633,653
indium chloride,0.45,tris(dimethylamino)phosphine,1.926,None,0,None,0,None,0,oleylamine,7.4,zinc iodide,2.2,None,0,2.435,170,10,7,478,518
